seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,gravity_z,gravity_y,gravity_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometer_z,magnetometer_y,magnetometer_x,compass_magneticBearing,network_type,network_isConnected,network_isInternetReachable,network_isWifiEnabled,network_isConnectionExpensive,network_ssid,network_bssid,network_strength,network_ipAddress,network_frequency,network_cellularGeneration,network_carrier,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x
12,0.306420079,-0.273249026,-0.02177462,-0.293835346,9.779768226,0.024908673,-0.043219926,0.015116832,0.005840347,-0.290809042,-0.218668099,0.619451723,0.695336486,0.367148789,-1.420414922,1.106496074,-23.21250092,-37.97962662,-15.46987562,157.8657611,none,FALSE,FALSE,FALSE,,,,,,,,,0.012571785,9.505990567,0.003126234,-41.33137642,-32.30100155,41.10150139,-0.037393124,0.017978125,0.006489999,0.012571785,9.505990567,0.003126234
13,0.243888945,0.080768264,-0.001621984,-0.241010166,9.780646988,-0.302295471,-0.008294485,-0.020726103,0.023465319,-0.297845579,-0.207611373,0.617120691,0.697874401,0.46537681,-1.398384921,1.199305115,-21.97162582,-37.76062637,-16.14637579,156.8930988,,,,,,,,,,,,,0.002933819,9.860971063,-0.30388237,-40.08900124,-32.08312645,40.42650154,-0.006892526,-0.0247837,0.022045833,0.002933819,9.860971063,-0.30388237
14,0.183347901,-0.007176198,0.025252556,-0.320018361,9.777068765,-0.252975236,0.009145097,-0.005687377,-0.001416789,-0.302080951,-0.215830039,0.616204237,0.694414932,0.451714386,-1.40472714,1.20436489,-22.79925083,-38.12250137,-19.04887581,153.4644243,none,FALSE,FALSE,FALSE,,,,,,,,,-0.136577953,9.769372543,-0.227676482,-40.91850128,-32.44537643,37.52475151,0.010561886,-0.009747671,-0.002828187,-0.136577953,9.769372543,-0.227676482
15,-0.135580926,-0.40840294,0.180021799,-0.135071454,9.776622366,-0.276143762,0.013224505,0.039201113,0.010456806,-0.28882528,-0.213258248,0.61567138,0.701213784,0.346248776,-1.407043396,1.074743336,-24.95812607,-38.15812592,-20.21175072,152.1244735,,,,,,,,,,,,,-0.270463379,9.367708381,-0.096175257,-43.07700142,-32.47950176,36.36112671,0.0146349,0.035149629,0.009042327,-0.270463379,9.367708381,-0.096175257
16,0.227124003,-0.504019982,0.044187146,0.112574214,9.776088696,-0.206137395,0.05048272,-0.022466422,-0.028532598,-0.273509294,-0.197905167,0.611908383,0.714557169,0.294683142,-1.383012457,0.977588636,-28.74637608,-38.34975128,-18.52650074,154.2110726,none,FALSE,FALSE,FALSE,,,,,,,,,0.33969266,9.271613687,-0.161894129,-46.86375175,-32.67525158,38.04600136,0.051894117,-0.026530759,-0.029957476,0.33969266,9.271613687,-0.161894129
17,0.320362367,0.075077004,-0.055280289,-0.100660119,9.775697746,-0.256256357,-2.48E-04,0.014598143,-0.001079579,-0.270561551,-0.193861459,0.618999202,0.711068149,0.350734137,-1.399877585,1.022577671,-27.89925117,-39.30712646,-17.04787571,156.5710494,,,,,,,,,,,,,0.219726244,9.850268737,-0.311532193,-46.01925156,-33.63075165,39.52650139,0.0012705,0.007986,-0.00178475,0.219726244,9.850268737,-0.311532193
18,0.31862869,0.015201454,-0.014466825,-0.146483372,9.782600945,-0.149361413,0.040515318,-0.029752573,-0.01346152,-0.270072755,-0.190813755,0.61317237,0.717008322,0.320246695,-1.382401455,0.987302437,-28.31625111,-38.95087654,-16.30500057,157.2916346,none,FALSE,FALSE,FALSE,,,,,,,,,0.172194129,9.797281359,-0.163876473,-46.43700142,-33.27337662,40.2693763,0.04193885,-0.033798038,-0.014878309,0.172194129,9.797281359,-0.163876473
19,-0.012673967,-0.139455624,-0.081940916,-0.200230979,9.767656657,0.132486494,-0.025750618,0.081732178,-0.028643564,-0.262395893,-0.20531007,0.615733544,0.713391194,0.162979215,-1.407121449,0.839639898,-25.59637615,-38.63775146,-17.85975058,155.2571726,,,,,,,,,,,,,-0.21271932,9.627719213,0.050526238,-43.71712631,-32.96062656,38.71162643,-0.024337501,0.077684777,-0.030067574,-0.21271932,9.627719213,0.050526238
20,0.235849213,-0.467647431,-0.045081726,-0.183676236,9.772602278,-0.091540973,-0.077756249,0.038439339,-0.023224019,-0.264979255,-0.190761901,0.621263559,0.711891285,0.329908089,-1.401165906,0.988676283,-25.53262615,-37.00012665,-18.99187576,152.8475344,none,FALSE,FALSE,FALSE,,,,,,,,,0.052310296,9.304493105,-0.13664707,-43.65000153,-31.32262619,37.58175148,-0.076335416,0.034389828,-0.024639461,0.052310296,9.304493105,-0.13664707
21,0.39855581,-0.233022359,-0.068726911,-0.273984872,9.77223181,-0.178661932,-0.052593068,-0.04753688,0.032707301,-0.270552304,-0.18737593,0.620588929,0.711338023,0.39636827,-1.392971755,1.058651872,-29.01825115,-37.60762672,-18.78412569,153.4268543,,,,,,,,,,,,,0.124661888,9.538746952,-0.247347046,-47.13862648,-31.92900146,37.78762688,-0.051178589,-0.051592451,0.031288738,0.124661888,9.538746952,-0.247347046
22,0.269344299,0.135069331,-0.010841186,-0.394278088,9.759349552,-0.538349677,0.021127818,-0.007891421,0.011269607,-0.29024935,-0.186794607,0.621714284,0.70280253,0.562782663,-1.383521934,1.254153636,-28.00762613,-39.99900162,-14.97075052,159.5064714,none,FALSE,FALSE,FALSE,,,,,,,,,-0.124788242,9.893922511,-0.549127963,-46.1268771,-34.3222513,41.60137672,0.022533824,-0.011946323,0.009846078,-0.124788242,9.893922511,-0.549127963
23,0.147106435,-0.075353025,-0.035565285,-0.370228513,9.76303195,-0.223771366,0.029596534,-0.063348019,0.03371609,-0.282265674,-0.202269198,0.610755828,0.710994917,0.308777352,-1.385733521,1.011473844,-27.78525108,-39.76462654,-14.78362568,159.6573999,,,,,,,,,,,,,-0.22298318,9.68715493,-0.259327737,-45.90412659,-34.08712669,41.79000153,0.031004207,-0.067402226,0.032293441,-0.22298318,9.68715493,-0.259327737
24,0.002260087,-0.411016078,0.067575277,-0.385506636,9.763187923,-0.527844264,-0.028887133,0.048511887,0.025197549,-0.28649399,-0.184710674,0.617454652,0.70858586,0.497215329,-1.37649392,1.18003891,-26.75212601,-39.6701265,-12.64800053,162.3335298,none,FALSE,FALSE,FALSE,,,,,,,,,-0.386744139,9.32889454,-0.454216202,-44.87062637,-33.99225136,43.92562645,-0.027456436,0.046051609,0.022929826,-0.381494576,9.351557354,-0.461545571
