seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,gravity_z,gravity_y,gravity_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometer_z,magnetometer_y,magnetometer_x,compass_magneticBearing,network_type,network_isConnected,network_isInternetReachable,network_isWifiEnabled,network_isConnectionExpensive,network_ssid,network_bssid,network_strength,network_ipAddress,network_frequency,network_cellularGeneration,network_carrier,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x
0.0,0.26412185989729653,0.30456460475061947,0.11352523291422116,8.868516513279506,3.4926316842928036,2.1523490901831743,-0.5890263384308225,-0.5297180060096967,0.019912365833998368,-0.3222671658783169,-0.15709602136860837,0.15979831985064916,0.9163934182334732,-0.20297770795750095,-0.4088567881793766,0.6334918052940578,-40.9744580310324,12.970924522565758,-31.436414221058723,66.88166891547012,,,,,,,,,,,,,9.118043909902157,3.7986653965452444,2.2631039118961147,-49.44130623858908,-3.2453805713549904,21.204620402792226,-0.5875165694312233,-0.5334551637263402,0.015467255092833353,9.118043909902157,3.7986653965452444,2.2631039118961147
1.0,0.5910164504996774,-1.3231542206405862,-0.44175875547122867,0.8772831772472344,8.140280438404456,-2.8767539193378946,-1.033462240812507,-0.2836284605961404,1.255355934547906,-0.5924315887923334,-0.4050920697696069,0.5090654236721057,0.4086847141677258,1.1905471163016617,-1.0268806552185732,-1.1002981610157911,3.3978750610351565,-32.46187622249126,-15.743625621795655,153.23666895696894,,,,,,,,,,,,,1.4684089077453988,6.816654714883542,-3.3182854680344462,-5.068500252962113,-48.679501953125,36.89887638092041,-1.0320205394510586,-0.2878787095732249,1.2537413209234134,1.4684089077453988,6.816654714883542,-3.3182854680344462
2.0,0.22765907982757919,-0.12592091872402938,0.3229649387631971,-2.105257260327292,7.932519596402008,-5.270173521325139,-0.10348896965767969,-0.052808088830252196,-0.12338602825469684,-0.6055830764770508,-0.48334516525268556,0.5963570773601532,0.20471241936087609,1.9071944618225098,-0.9771993893384934,-2.502915234565735,23.395125846862793,-35.34037628173828,-0.8531250400096178,178.53223224647172,none,false,false,false,,,,,,,,,-1.8773109847126472,7.806160804068688,-4.946664568221215,14.928375568389892,-51.55800254821777,51.790502090454105,-0.10256683145013482,-0.058550495207125304,-0.12989938063639225,-1.8773109847126472,7.806160804068688,-4.946664568221215
3.0,-0.11931654950603843,-0.10264892730058409,0.06302317498029522,-1.4725405522713475,7.434523058872597,-6.144449378929886,-0.060331187930216294,-0.0037506191189041233,0.04537363780090715,-0.6312062600079704,-0.43928928731703293,0.6161564419082567,0.16390821549530124,1.7960800014290155,-0.8589193528773738,-2.6046151390262677,19.83787582397461,-36.976501541137694,3.62662513256073,185.61094227888287,,,,,,,,,,,,,-1.5915633161762255,7.331415045495127,-6.080904708189123,11.368125400543214,-53.19225227355957,56.27100212097168,-0.058892203582506075,-0.007998143166008562,0.04376448012224519,-1.5915633161762255,7.331415045495127,-6.080904708189123
4.0,0.016627011578622283,-0.6138351183836487,0.34034227432295827,-1.370421600813913,7.488226545919286,-6.113058600095239,-0.08854865198315796,0.012077083007669916,0.10923970590674263,-0.6349933477911619,-0.4566987032937531,0.6101303920887484,0.1229701585108691,1.8098994918388895,-0.8178955487685629,-2.5143471850026953,19.897500762939455,-36.4376261138916,5.845125255584716,189.15544140229997,none,false,false,false,,,,,,,,,-1.3534307559896814,6.873921101636226,-5.7722572005621275,11.42887544631958,-52.654877166748044,58.48687744140625,-0.08711029390128804,0.007824019926107106,0.10763149519962277,-1.3534307559896814,6.873921101636226,-5.7722572005621275
5.0,0.011995452930968181,0.006079339910773378,0.15447473160776437,-1.4614395616101283,6.614738436306224,-7.0492075377819585,0.012402227678622054,-0.03192994919245933,-0.003350370715713442,-0.6443957680580663,-0.42917732660676916,0.6266504812474344,0.08715102032703512,1.7778648360102784,-0.7238824507769417,-2.537257344115014,20.260875701904297,-34.71862640380859,12.047625465393066,199.14625564420345,,,,,,,,,,,,,-1.4489868293498076,6.620301784253588,-6.894213564255658,11.795250511169433,-50.93550254821778,64.68937835693359,0.013838490724821788,-0.03617747458583205,-0.004959530372283246,-1.4489868293498076,6.620301784253588,-6.894213564255658
6.0,0.05603015302407621,-0.02427585633716198,0.051175692372701385,-1.4483021861314773,6.724949245452881,-6.953132629394531,0.014347647584163317,0.010539851575573482,0.009049133729595359,-0.6505143082503116,-0.4428125734281058,0.6096937963456819,0.09207204021889755,1.7596268063843852,-0.7593881421618991,-2.523129607691909,20.617500839233397,-34.562251586914066,10.363875436782838,196.72470903160013,none,false,false,false,,,,,,,,,-1.3871956140835686,6.709524093288006,-6.93951417431973,12.148875484466553,-50.77762741088867,63.007502746582034,0.0133622495085001,0.0021944996062666176,0.011086624767631292,-1.3841370699554683,6.697408828735352,-6.895819811820984
7.0,0.19469890182874366,-0.12811273122254838,0.021925154580351186,-1.5610236128171284,6.880217271692612,-6.760160684585571,0.010863862295478288,0.04623675812035799,-0.06275990045177612,-0.6523392299811045,-0.45256482210813787,0.5996960424909404,0.0967347345077524,1.7548832834935655,-0.7846867740154266,-2.51143763813318,21.096375617980957,-35.197126388549805,10.531500396728516,196.66589353385655,,,,,,,,,,,,,-1.3659471175724678,6.7515767976349474,-6.737663544860541,12.628875484466553,-51.414752349853515,63.17550224304199,0.01230692993941726,0.04198514896970574,-0.06437722737393757,-1.3659471175724678,6.7515767976349474,-6.737663544860541
8.0,0.19485863249306337,-0.37302916150281923,0.45044346692243425,-1.4890331314636929,6.986656510003723,-6.648584285585007,0.005717034506447175,-0.06620624813470333,-0.051892769833405815,-0.6514031462150045,-0.4484021799399121,0.6017245520459543,0.1090547027121676,1.7543384202636114,-0.7969208153167574,-2.534745145552229,19.898250923156738,-35.93025154113769,10.926000480651856,196.86102825037042,none,false,false,false,,,,,,,,,-1.294017384916839,6.613136447302185,-6.197634918854968,11.433000469207764,-52.14450241088867,63.570002975463865,0.0071540440240984455,-0.07045796582037035,-0.053513113085144,-1.294017384916839,6.613136447302185,-6.197634918854968
9.0,-0.018208721518235774,-0.03412604149415012,0.06329435506817319,-1.2355374070067031,7.015870889027913,-6.704889951967726,0.04876757365199599,6.534668644613559E-4,0.0447691833683391,-0.6636179872587615,-0.45788323440972495,0.5824794395297181,0.10077684343445535,1.7145538330078125,-0.81158301467989,-2.52147409027698,20.292750816345215,-35.57850173950195,12.036375465393066,198.69512646903024,,,,,,,,,,,,,-1.2533294685805838,6.981207688649495,-6.641097353953941,11.824500484466553,-51.795752334594724,64.6803776550293,0.05021744999702614,-0.0035926982631335164,0.043157301584977915,-1.2533294685805838,6.981207688649495,-6.641097353953941
